,No.,Time,Source,Destination,Protocol,Length,Info
283003,289221,14769.970888,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283004,289222,14769.970956,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283005,289223,14769.971888,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283006,289224,14769.977131,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283007,289225,14769.977216,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283008,289226,14769.97728,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283009,289227,14769.977357,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283010,289228,14769.977438,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283011,289229,14769.977767,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283012,289230,14769.97785,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283013,289231,14769.977915,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283014,289232,14769.977991,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283015,289233,14769.978056,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283016,289234,14769.978135,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283017,289235,14769.980844,10.0.0.45,192.0.72.16,TCP,54,50676  >  443 [ACK] Seq=782 Ack=121583 Win=60928 Len=0
283018,289236,14769.981272,10.0.0.45,192.0.72.16,TCP,54,[TCP Window Update] 50676  >  443 [ACK] Seq=782 Ack=121583 Win=66560 Len=0
283019,289237,14769.982276,10.0.0.45,192.0.72.16,TCP,54,50676  >  443 [ACK] Seq=782 Ack=130295 Win=66560 Len=0
283020,289238,14769.985361,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283021,289239,14769.985686,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283022,289240,14769.98577,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283023,289241,14769.985835,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283024,289242,14769.98591,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283025,289243,14769.985976,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283026,289244,14769.986056,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283027,289245,14769.986281,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283028,289246,14769.986599,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283029,289247,14769.986917,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283030,289248,14769.986993,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283031,289249,14769.987059,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283032,289250,14769.987132,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283033,289251,14769.987214,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283034,289252,14769.987536,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283035,289253,14769.993764,192.0.72.16,10.0.0.45,TLSv1.2,1506,"Application Data, Application Data"
283036,289254,14769.994044,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283037,289255,14769.994336,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=162822 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283038,289256,14769.994413,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=164274 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283039,289257,14769.994645,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=165726 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283040,289258,14769.99472,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=167178 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283041,289259,14769.994962,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=168630 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283042,289260,14769.995038,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=170082 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283043,289261,14769.995103,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=171534 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283044,289262,14769.995252,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=172986 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283045,289263,14769.995599,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=174438 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283046,289264,14769.995674,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=175890 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283047,289265,14769.995908,192.0.72.16,10.0.0.45,TLSv1.2,1506,Application Data [TCP segment of a reassembled PDU]
283048,289266,14769.995983,192.0.72.16,10.0.0.45,TLSv1.2,1506,"[TCP Previous segment not captured] , Ignored Unknown Record"
283049,289267,14769.996048,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283050,289268,14770.004009,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283051,289269,14770.006363,54.240.166.244,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 80  >  50673 [ACK] Seq=142494 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283052,289270,14770.006441,54.240.166.244,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 80  >  50673 [ACK] Seq=143946 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283053,289271,14770.006674,54.240.166.244,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 80  >  50673 [ACK] Seq=145398 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283054,289272,14770.006994,54.240.166.244,10.0.0.45,TCP,1506,[TCP Previous segment not captured] 80  >  50673 [ACK] Seq=183150 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283055,289273,14770.007314,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=184602 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283056,289274,14770.00739,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=186054 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283057,289275,14770.007455,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=187506 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283058,289276,14770.00753,54.240.166.244,10.0.0.45,TCP,1506,80  >  50673 [ACK] Seq=188958 Ack=440 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283059,289279,14770.007612,192.0.72.16,10.0.0.45,TLSv1.2,1506,"[TCP Previous segment not captured] , Ignored Unknown Record"
283060,289280,14770.007888,192.0.72.16,10.0.0.45,TLSv1.2,1274,Ignored Unknown Record
283061,289281,14770.016533,10.0.0.45,192.0.72.16,TCP,54,50676  >  443 [ACK] Seq=782 Ack=144815 Win=60928 Len=0
283062,289282,14770.01687,10.0.0.45,192.0.72.16,TCP,54,[TCP Window Update] 50676  >  443 [ACK] Seq=782 Ack=144815 Win=66560 Len=0
283063,289283,14770.017851,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#12] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=164274
283064,289284,14770.018015,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#13] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=165726
283065,289285,14770.018074,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#14] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=167178
283066,289286,14770.018128,10.0.0.45,192.0.72.16,TCP,54,50676  >  443 [ACK] Seq=782 Ack=154979 Win=65280 Len=0
283067,289287,14770.018384,10.0.0.45,192.0.72.16,TCP,54,[TCP Window Update] 50676  >  443 [ACK] Seq=782 Ack=154979 Win=66560 Len=0
283068,289288,14770.019013,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#15] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=168630
283069,289289,14770.019173,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#16] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=170082
283070,289290,14770.019232,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#17] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=171534
283071,289291,14770.019285,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#18] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=172986
283072,289292,14770.019337,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#19] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=174438
283073,289293,14770.01939,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#20] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=175890
283074,289294,14770.019442,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289185#21] 50673  >  80 [ACK] Seq=440 Ack=142494 Win=66560 Len=0 SLE=146850 SRE=177342
283075,289295,14770.019501,10.0.0.45,192.0.72.16,TCP,66,50676  >  443 [ACK] Seq=782 Ack=156431 Win=66560 Len=0 SLE=163691 SRE=165143
283076,289296,14770.019555,10.0.0.45,192.0.72.16,TCP,66,[TCP Dup ACK 289295#1] 50676  >  443 [ACK] Seq=782 Ack=156431 Win=66560 Len=0 SLE=163691 SRE=166595
283077,289297,14770.019863,10.0.0.45,192.0.72.16,TCP,66,[TCP Dup ACK 289295#2] 50676  >  443 [ACK] Seq=782 Ack=156431 Win=66560 Len=0 SLE=163691 SRE=168047
283078,289298,14770.020082,10.0.0.45,54.240.166.244,TCP,66,50673  >  80 [ACK] Seq=440 Ack=143946 Win=66560 Len=0 SLE=146850 SRE=177342
283079,289299,14770.020143,10.0.0.45,54.240.166.244,TCP,66,50673  >  80 [ACK] Seq=440 Ack=145398 Win=66560 Len=0 SLE=146850 SRE=177342
283080,289300,14770.020213,10.0.0.45,54.240.166.244,TCP,54,50673  >  80 [ACK] Seq=440 Ack=177342 Win=66560 Len=0
283081,289301,14770.020267,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289300#1] 50673  >  80 [ACK] Seq=440 Ack=177342 Win=66560 Len=0 SLE=183150 SRE=184602
283082,289302,14770.02034,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289300#2] 50673  >  80 [ACK] Seq=440 Ack=177342 Win=66560 Len=0 SLE=183150 SRE=186054
283083,289303,14770.020392,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289300#3] 50673  >  80 [ACK] Seq=440 Ack=177342 Win=66560 Len=0 SLE=183150 SRE=187506
283084,289304,14770.020399,54.240.166.244,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 80  >  50672 [ACK] Seq=238129 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283085,289305,14770.020444,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289300#4] 50673  >  80 [ACK] Seq=440 Ack=177342 Win=66560 Len=0 SLE=183150 SRE=188958
283086,289306,14770.020496,10.0.0.45,54.240.166.244,TCP,66,[TCP Dup ACK 289300#5] 50673  >  80 [ACK] Seq=440 Ack=177342 Win=66560 Len=0 SLE=183150 SRE=190410
283087,289307,14770.02055,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289295#3] 50676  >  443 [ACK] Seq=782 Ack=156431 Win=66560 Len=0 SLE=169499 SRE=170951 SLE=163691 SRE=168047
283088,289308,14770.022601,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289295#4] 50676  >  443 [ACK] Seq=782 Ack=156431 Win=66560 Len=0 SLE=169499 SRE=172171 SLE=163691 SRE=168047
283089,289309,14770.022804,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=239581 Win=66560 Len=0 SLE=255553 SRE=262813
283090,289310,14770.029726,54.240.166.244,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 80  >  50672 [ACK] Seq=239581 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283091,289311,14770.032181,54.240.166.244,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 80  >  50672 [ACK] Seq=241033 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283092,289312,14770.034461,54.240.166.244,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 80  >  50672 [ACK] Seq=242485 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283093,289313,14770.034563,54.240.166.244,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 80  >  50672 [ACK] Seq=243937 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283094,289314,14770.035486,54.240.166.244,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 80  >  50672 [ACK] Seq=245389 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283095,289315,14770.035565,54.240.166.244,10.0.0.45,TCP,1506,[TCP Out-Of-Order] 80  >  50672 [ACK] Seq=246841 Ack=434 Win=15872 Len=1452 [TCP segment of a reassembled PDU]
283096,289316,14770.042107,192.0.72.16,10.0.0.45,TLSv1.2,286,Ignored Unknown Record
283097,289317,14770.042888,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283098,289318,14770.045314,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283099,289319,14770.04872,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283100,289320,14770.049359,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283101,289321,14770.049433,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=178211 Ack=782 Win=31744 Len=1452
283102,289322,14770.049496,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283103,289323,14770.049563,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283104,289324,14770.054217,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283105,289325,14770.054529,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283106,289326,14770.054848,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283107,289327,14770.054923,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283108,289328,14770.055169,192.0.72.16,10.0.0.45,TLSv1.2,1506,Ignored Unknown Record
283109,289329,14770.055488,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=189827 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283110,289330,14770.055806,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=191279 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283111,289331,14770.056735,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=192731 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283112,289332,14770.056951,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=194183 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283113,289333,14770.058727,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=195635 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283114,289334,14770.062763,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=197087 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283115,289335,14770.062858,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=198539 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283116,289336,14770.062992,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=199991 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283117,289337,14770.063357,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=201443 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283118,289338,14770.063668,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=202895 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283119,289339,14770.068537,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=204347 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283120,289340,14770.068634,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=205799 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283121,289341,14770.068762,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=207251 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283122,289342,14770.068889,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=208703 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283123,289343,14770.069097,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=210155 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283124,289344,14770.069329,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=241033 Win=66560 Len=0 SLE=255553 SRE=262813
283125,289345,14770.069492,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=211607 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283126,289346,14770.069505,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=242485 Win=66560 Len=0 SLE=255553 SRE=262813
283127,289347,14770.069567,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=243937 Win=66560 Len=0 SLE=255553 SRE=262813
283128,289348,14770.069621,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=245389 Win=66560 Len=0 SLE=255553 SRE=262813
283129,289349,14770.069763,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=246841 Win=66560 Len=0 SLE=255553 SRE=262813
283130,289350,14770.069786,192.0.72.16,10.0.0.45,TCP,1506,443  >  50676 [ACK] Seq=213059 Ack=782 Win=31744 Len=1452 [TCP segment of a reassembled PDU]
283131,289351,14770.069911,10.0.0.45,54.240.166.244,TCP,66,50672  >  80 [ACK] Seq=434 Ack=248293 Win=66560 Len=0 SLE=255553 SRE=262813
283132,289352,14770.07005,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289295#5] 50676  >  443 [ACK] Seq=782 Ack=156431 Win=66560 Len=0 SLE=169499 SRE=172403 SLE=163691 SRE=168047
283133,289353,14770.070111,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289295#6] 50676  >  443 [ACK] Seq=782 Ack=156431 Win=66560 Len=0 SLE=169499 SRE=173855 SLE=163691 SRE=168047
283134,289354,14770.070164,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289295#7] 50676  >  443 [ACK] Seq=782 Ack=156431 Win=66560 Len=0 SLE=169499 SRE=175307 SLE=163691 SRE=168047
283135,289355,14770.070216,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289295#8] 50676  >  443 [ACK] Seq=782 Ack=156431 Win=66560 Len=0 SLE=169499 SRE=176759 SLE=163691 SRE=168047
283136,289356,14770.071208,10.0.0.45,192.0.72.16,TCP,74,[TCP Dup ACK 289295#9] 50676  >  443 [ACK] Seq=782 Ack=156431 Win=66560 Len=0 SLE=169499 SRE=178211 SLE=163691 SRE=168047
